Time,Engine speed,Throttle position,Accelerator pedal position,Speed,Trip fuel consumption
335.5,1090.797059,8.155338063,17.67326804,3.909007353,182215.4186
336.3,1309.195588,8.94495347,18.88427734,6.531341912,182756.2434
337.1,1471.372059,9.4566794,18.88427734,8.632352941,183405.9042
337.9,1683.607353,10.23584702,18.8837388,10.52564338,184168.8956
338.7,1531.261765,8.756606158,13.55598001,12.38602941,184894.1318
339.5,1306.527941,6.677928251,11.69433594,13.66957721,185482.6827
340.3,1321.611765,6.806676528,12.88035673,14.24733456,185900.7381
341.1,1321.411765,7.463199391,14.92040298,14.83134191,186381.9489
341.9,1251.542647,8.290333467,19.71069336,15.83823529,186867.5237
342.7,1364.458824,10.26744169,21.75077551,17.28023897,187478.8548
343.5,1510.163235,11.81069767,22.65237247,19.125,188277.2195
344.3,1673.057353,13.44177246,23.39172363,21.16231618,189221.9757
345.1,1839.383824,13.70005888,23.41071634,23.30634191,190139.3631
345.9,1924.980882,13.37370031,23.46191406,25.15735294,191056.3814
346.7,1429.988235,12.31423771,23.6150405,26.95625,191992.709
347.5,1465.516176,12.04230813,23.00720215,28.45652574,192930.4798
348.3,1540.239706,12.3461196,23.00720215,29.88235294,193754.9601
349.1,1612.841176,12.71818273,23.00720215,31.36672794,194604.2664
349.9,1685.686765,13.23349897,23.00720215,32.76424632,195512.2075
350.7,1757.170588,13.60294118,23.00720215,34.17058824,196424.6875
351.5,1826.905882,13.34566004,23.00720215,35.58897059,197481.3943
352.3,1870.807353,13.27615177,23.00720215,36.70845588,198366.5248
353.1,1478.666176,11.94472369,23.00720215,37.68933824,199286.7406
353.9,1476.082353,12.07016889,23.00720215,38.65404412,200110.2542
354.7,1512.05,12.668098,23.83634679,39.56976103,201058.8199
355.4,1552.997059,15.87172564,27.27564195,40.60367647,201912.6893
356.2,1607.119118,19.84281652,28.77057244,41.96764706,203021.3572
357,1667.875,20.88059369,29.23831715,43.63520221,204183.0219
357.8,1730.863235,22.12269503,29.51660156,45.23400735,205577.1221
358.6,1794.072059,21.74851361,29.58000632,46.92977941,206808.4844
359.4,1848.592647,16.14968693,23.96703384,48.41654412,208032.6438
360.2,1874.186765,10.02778895,15.85154814,49.22849265,209038.1452
361,1721.689706,8.695104262,14.42558737,49.22573529,209659.9347
361.9,1565.758824,8.254897174,14.41650391,49.12408088,210112.5438
362.6,1456.632353,7.90660185,14.41650391,49.00496324,210598.0699
363.4,1372.607353,8.201688879,16.70126522,49.00055147,211128.9301
364.2,1375.104412,8.862986845,17.64831543,49.07113971,211722.1351
365,1378.820588,8.843958238,17.86233341,49.20523897,212343.5018
365.8,1383.780882,9.118939568,18.51479923,49.38143382,212976.7702
366.6,1388.804412,9.203742532,18.51501465,49.56700368,213649.1149
367.4,1394.461765,9.114487592,18.15067067,49.765625,214342.0717
