time_bucket,time,trs_mt_gr_st\CCP:1,fmsp_af_sp\CCP:1,sys_veh_spd\CCP:1,sys_map\CCP:1,afm_stk_flw_pct\CCP:1,tq_imep_ref\CCP:1,sys_pps_pct\CCP:1,tq_clch_torq\CCP:1,hw_bat_vlt\CCP:1,afm_stk_flw\CCP:1,sys_tps_pct\CCP:1,sys_fc_avg_rate\CCP:1,sys_eng_spd\CCP:1,sys_trip_fc\CCP:1,sys_iat\CCP:1,knck_ron_fac\CCP:1,sys_ect\CCP:1,time_to_heat
129.0,129.0005851,1,13.72802734,3.2265625,70.6875,60.77880859,675.5,12.87841797,67.4375,13.16650391,0.316955566,8.935546875,0.543945313,464.875,78378.71875,29.53125,1,46.2734375,
130.0,130.0018847,1,14.13037109,7.3984375,51.34375,39.69726563,443.0,13.91906738,39.875,13.97753906,0.207000732,5.972290039,0.391601563,851.625,79020.53125,29.8203125,1,46.9375,
131.0,131.0114635,1,14.13037109,8.75,45.98046875,35.9375,415.25,17.63305664,34.625,14.11181641,0.187408447,6.478881836,0.48828125,1020.75,79681.28125,29.6015625,1,46.9375,
132.0,132.0021824,1,14.14355469,9.59375,50.0234375,39.66064453,453.375,29.35180664,41.1875,14.09960938,0.206817627,8.892822266,0.682617188,1147.5,80004.35938,29.53125,1,46.9375,
133.0,133.0033089,1,14.15673828,13.296875,64.8203125,53.61328125,648.1875,38.62915039,70.4375,14.10400391,0.281860352,15.72570801,1.487304688,1582.375,81168.84375,29.6484375,1,46.9375,
134.0,134.0133035,1,14.375,16.03125,25.6796875,18.45703125,210.3125,0.0,-6.4375,14.10742188,0.096282959,5.392456055,0.337890625,1646.875,82095.65625,29.6796875,1,47.625,
135.0,135.0044482,2,14.15673828,16.109375,62.1953125,51.19628906,585.9375,30.17578125,60.4375,14.06201172,0.266967773,11.5020752,0.889648438,1004.0,82753.57813,29.5,1,47.625,
136.0,136.0021651,2,14.17041016,18.59375,63.265625,49.68261719,570.8125,26.40075684,59.875,14.09814453,0.259063721,10.56213379,0.84375,1159.5,83424.92188,29.734375,1,47.625,
137.0,137.0000596,2,14.18359375,20.5,55.0,43.67675781,502.6875,27.01416016,48.9375,14.11035156,0.227783203,10.47363281,0.779296875,1286.125,84519.40625,29.734375,1,48.4140625,
138.0,138.0080921,2,14.19726563,22.4765625,54.5234375,43.45703125,510.75,27.97241211,50.4375,14.17919922,0.225982666,10.9375,0.926757813,1390.125,85079.46875,29.609375,1,48.4140625,
139.0,139.0010212,2,14.2109375,24.28125,55.2734375,44.90966797,541.8125,32.64465332,55.1875,14.10400391,0.234222412,12.3046875,1.000976563,1518.625,85695.25,29.5390625,1,48.4140625,
140.0,140.0011307,2,14.23779297,26.71875,56.86328125,46.00830078,550.0625,32.64465332,56.4375,14.13085938,0.239929199,13.5559082,1.150390625,1668.25,87070.0,29.5703125,1,49.15625,
